"load_datetime","Segment","Mode","Order_Type","Initial_Period","Institution","Interest_rate_am","Interest_rate_aa"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","10/02/2023 a 16/02/2023","BANCO ORIGINAL","18.92","700.2"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","10/02/2023 a 16/02/2023","CAIXA ECONOMICA FEDERAL","2.41","33.1"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","10/02/2023 a 16/02/2023","BCO DO BRASIL S.A.","4.22","64.23"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","10/02/2023 a 16/02/2023","BCO SANTANDER (BRASIL) S.A.","4.69","73.37"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","10/02/2023 a 16/02/2023","ITAÚ UNIBANCO S.A.","4.19","63.73"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","10/02/2023 a 16/02/2023","BCO BRADESCO S.A.","7.37","134.64"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","10/02/2023 a 16/02/2023","NU FINANCEIRA S.A. CFI","5.65","93.49"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","10/02/2023 a 16/02/2023","BCO C6 S.A.","3.65","53.77"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","10/02/2023 a 16/02/2023","BANCO PAN","2.58","35.81"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","09/02/2023 a 15/02/2023","CAIXA ECONOMICA FEDERAL","11.73","278.32"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","09/02/2023 a 15/02/2023","BCO DO BRASIL S.A.","15.3","452.13"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","09/02/2023 a 15/02/2023","BCO SANTANDER (BRASIL) S.A.","13.9","376.98"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","09/02/2023 a 15/02/2023","BCO BRADESCO S.A.","14.29","396.87"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","09/02/2023 a 15/02/2023","BANCO BRADESCARD","19.11","715.28"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","09/02/2023 a 15/02/2023","NU FINANCEIRA S.A. CFI","13.23","344.15"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","09/02/2023 a 15/02/2023","BANCO INTER","14.04","383.62"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","09/02/2023 a 15/02/2023","BCO XP S.A.","5.18","83.4"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","09/02/2023 a 15/02/2023","BCO C6 S.A.","15.52","464.89"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","09/02/2023 a 15/02/2023","BANCO ORIGINAL","18.91","699.27"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","09/02/2023 a 15/02/2023","CAIXA ECONOMICA FEDERAL","2.41","33.03"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","09/02/2023 a 15/02/2023","BCO DO BRASIL S.A.","4.23","64.33"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","09/02/2023 a 15/02/2023","BCO SANTANDER (BRASIL) S.A.","4.67","72.83"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","09/02/2023 a 15/02/2023","ITAÚ UNIBANCO S.A.","4.18","63.46"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","09/02/2023 a 15/02/2023","BCO BRADESCO S.A.","7.48","137.75"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","09/02/2023 a 15/02/2023","NU FINANCEIRA S.A. CFI","5.38","87.64"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","09/02/2023 a 15/02/2023","BCO C6 S.A.","3.88","57.91"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","09/02/2023 a 15/02/2023","BANCO PAN","2.6","36.12"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","08/02/2023 a 14/02/2023","CAIXA ECONOMICA FEDERAL","11.71","277.65"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","08/02/2023 a 14/02/2023","BCO DO BRASIL S.A.","15.2","446.55"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","08/02/2023 a 14/02/2023","BCO SANTANDER (BRASIL) S.A.","13.88","375.8"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","08/02/2023 a 14/02/2023","BCO BRADESCO S.A.","13.79","371.11"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","08/02/2023 a 14/02/2023","BANCO BRADESCARD","18.82","691.91"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","08/02/2023 a 14/02/2023","NU FINANCEIRA S.A. CFI","13.3","347.31"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","08/02/2023 a 14/02/2023","BANCO INTER","14.0","381.78"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","08/02/2023 a 14/02/2023","BCO XP S.A.","5.22","84.12"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","08/02/2023 a 14/02/2023","BCO C6 S.A.","15.53","465.61"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","08/02/2023 a 14/02/2023","BANCO ORIGINAL","18.74","685.92"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","08/02/2023 a 14/02/2023","CAIXA ECONOMICA FEDERAL","2.4","32.97"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","08/02/2023 a 14/02/2023","BCO DO BRASIL S.A.","4.23","64.47"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","08/02/2023 a 14/02/2023","BCO SANTANDER (BRASIL) S.A.","4.66","72.66"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","08/02/2023 a 14/02/2023","ITAÚ UNIBANCO S.A.","4.16","63.12"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","08/02/2023 a 14/02/2023","BCO BRADESCO S.A.","7.49","137.91"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","08/02/2023 a 14/02/2023","NU FINANCEIRA S.A. CFI","5.39","87.72"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","08/02/2023 a 14/02/2023","BCO C6 S.A.","3.92","58.61"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","08/02/2023 a 14/02/2023","BANCO PAN","2.61","36.28"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","07/02/2023 a 13/02/2023","CAIXA ECONOMICA FEDERAL","11.53","270.4"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","07/02/2023 a 13/02/2023","BCO DO BRASIL S.A.","15.29","451.5"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","07/02/2023 a 13/02/2023","BCO SANTANDER (BRASIL) S.A.","13.92","377.56"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","07/02/2023 a 13/02/2023","BCO BRADESCO S.A.","13.8","371.63"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","07/02/2023 a 13/02/2023","BANCO BRADESCARD","18.83","692.55"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","07/02/2023 a 13/02/2023","NU FINANCEIRA S.A. CFI","13.33","348.9"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","07/02/2023 a 13/02/2023","BANCO INTER","13.87","375.41"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","07/02/2023 a 13/02/2023","BCO XP S.A.","5.22","84.12"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","07/02/2023 a 13/02/2023","BCO C6 S.A.","15.53","465.61"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","07/02/2023 a 13/02/2023","BANCO ORIGINAL","18.74","685.33"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","07/02/2023 a 13/02/2023","CAIXA ECONOMICA FEDERAL","2.41","33.0"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","07/02/2023 a 13/02/2023","BCO DO BRASIL S.A.","4.26","64.94"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","07/02/2023 a 13/02/2023","BCO SANTANDER (BRASIL) S.A.","4.64","72.29"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","07/02/2023 a 13/02/2023","ITAÚ UNIBANCO S.A.","4.24","64.57"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","07/02/2023 a 13/02/2023","BCO BRADESCO S.A.","7.51","138.51"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","07/02/2023 a 13/02/2023","NU FINANCEIRA S.A. CFI","5.39","87.85"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","07/02/2023 a 13/02/2023","BCO C6 S.A.","4.07","61.31"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","07/02/2023 a 13/02/2023","BANCO PAN","2.6","36.09"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","06/02/2023 a 10/02/2023","CAIXA ECONOMICA FEDERAL","11.51","269.46"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","06/02/2023 a 10/02/2023","BCO DO BRASIL S.A.","15.27","450.16"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","06/02/2023 a 10/02/2023","BCO SANTANDER (BRASIL) S.A.","13.74","368.72"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","06/02/2023 a 10/02/2023","BCO BRADESCO S.A.","13.76","369.66"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","06/02/2023 a 10/02/2023","BANCO BRADESCARD","18.83","692.7"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","06/02/2023 a 10/02/2023","NU FINANCEIRA S.A. CFI","13.16","340.73"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","06/02/2023 a 10/02/2023","BANCO INTER","13.91","377.17"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","06/02/2023 a 10/02/2023","BCO XP S.A.","5.21","83.86"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","06/02/2023 a 10/02/2023","BCO C6 S.A.","15.25","449.09"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","06/02/2023 a 10/02/2023","BANCO ORIGINAL","18.88","696.42"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","06/02/2023 a 10/02/2023","CAIXA ECONOMICA FEDERAL","2.43","33.44"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","06/02/2023 a 10/02/2023","BCO DO BRASIL S.A.","4.25","64.72"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","06/02/2023 a 10/02/2023","BCO SANTANDER (BRASIL) S.A.","4.66","72.8"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","06/02/2023 a 10/02/2023","ITAÚ UNIBANCO S.A.","4.36","66.83"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","06/02/2023 a 10/02/2023","BCO BRADESCO S.A.","7.46","136.99"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","06/02/2023 a 10/02/2023","NU FINANCEIRA S.A. CFI","5.41","88.22"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","06/02/2023 a 10/02/2023","BCO C6 S.A.","4.41","67.85"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","06/02/2023 a 10/02/2023","BANCO PAN","2.63","36.59"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","03/02/2023 a 09/02/2023","CAIXA ECONOMICA FEDERAL","11.56","271.74"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","03/02/2023 a 09/02/2023","BCO DO BRASIL S.A.","14.77","422.57"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","03/02/2023 a 09/02/2023","BCO SANTANDER (BRASIL) S.A.","13.96","379.53"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","03/02/2023 a 09/02/2023","BCO BRADESCO S.A.","13.12","338.96"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","03/02/2023 a 09/02/2023","BANCO BRADESCARD","18.79","689.29"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","03/02/2023 a 09/02/2023","NU FINANCEIRA S.A. CFI","13.06","336.21"
